time1,batteryLevel,batteryPercent,wirelessSignal,sensorsQuality,time2,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace,time3,engagement,excitement,longTermExcitement,stress,relaxation,interest,focus,isENG,isEXC,isSTR,isREL,isINT,isFOC,time11,Pleasure,Arousal,Dominance,time0,momentId,SAM-selectionP,SAM-selectionA,SAM-selectionD
,,,,,1722274894.9287,neutral,frown,0.24495,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.9601,neutral,frown,0.24495,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274894.9914,neutral,frown,0.317952,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.0227,neutral,frown,0.317952,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.0539,neutral,frown,0.317952,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.0852,neutral,frown,0.317952,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.1166,neutral,frown,0.288751,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.1479,neutral,frown,0.288751,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.1792,neutral,frown,0.288751,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.2105,neutral,frown,0.288751,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.2418,neutral,frown,0.439708,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722274895.2418,3,59,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.2732,neutral,frown,0.439708,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.3045,neutral,frown,0.439708,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.3357,neutral,frown,0.439708,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.367,neutral,frown,0.587502,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.3983,neutral,frown,0.587502,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.4297,neutral,frown,0.587502,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.461,neutral,frown,0.587502,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.4923,neutral,frown,0.423651,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.5236,neutral,frown,0.423651,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.5549,neutral,frown,0.423651,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.5863,neutral,frown,0.423651,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.6176,neutral,frown,0.261899,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.6488,neutral,frown,0.261899,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.6801,neutral,frown,0.261899,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.7114,neutral,frown,0.261899,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.7428,neutral,frown,0.26468,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722274895.7506,3,59,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.7741,neutral,frown,0.26468,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.8054,neutral,frown,0.26468,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.8367,neutral,frown,0.26468,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.868,neutral,frown,0.257134,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.8994,neutral,frown,0.257134,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.9307,neutral,frown,0.257134,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.9619,neutral,frown,0.257134,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274895.9932,neutral,frown,0.118488,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.0245,neutral,frown,0.118488,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.0559,neutral,frown,0.118488,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.0872,neutral,frown,0.118488,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.1185,neutral,frown,0.113324,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.1498,blink,frown,0.113324,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.1811,blink,frown,0.113324,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.2125,blink,frown,0.113324,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.2438,blink,frown,0.103366,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722274896.2438,3,59,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.275,blink,frown,0.103366,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.3063,neutral,frown,0.103366,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.3376,neutral,frown,0.103366,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.369,neutral,frown,0.125446,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.4003,neutral,frown,0.125446,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.4316,neutral,frown,0.125446,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.4629,neutral,frown,0.125446,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.4942,neutral,frown,0.186137,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.5256,neutral,frown,0.186137,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.5569,neutral,frown,0.186137,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.5881,neutral,frown,0.186137,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.6194,neutral,frown,0.152053,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.6507,neutral,frown,0.152053,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.6821,neutral,frown,0.152053,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.7134,neutral,frown,0.152053,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.7447,neutral,frown,0.086478,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722274896.7447,3,59,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.776,neutral,frown,0.086478,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.8073,neutral,frown,0.086478,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.8387,neutral,frown,0.086478,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.87,neutral,frown,0.131704,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.9012,neutral,frown,0.131704,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.9325,neutral,frown,0.131704,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.9638,neutral,frown,0.131704,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274896.9952,neutral,frown,0.105331,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.0265,neutral,frown,0.105331,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.0578,neutral,frown,0.105331,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.0891,neutral,frown,0.105331,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.1204,neutral,neutral,0.0,smile,0.637063,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.1518,neutral,neutral,0.0,smile,0.637063,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.1831,neutral,neutral,0.0,smile,0.637063,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.2143,neutral,neutral,0.0,smile,0.637063,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1722274897.2456,0.494632,0.367925,0.0,0.357695,0.341044,0.422616,0.42438,true,true,true,true,true,true,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1722274897.2456,0.97,0.22,0.11,,,,,
,,,,,1722274897.2456,neutral,neutral,0.0,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
1722274897.2535,3,59,1.0,[4-4-4-4-4-100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.2769,neutral,neutral,0.0,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.3083,blink,neutral,0.0,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.3396,blink,neutral,0.0,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.3709,blink,frown,0.552946,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.4022,blink,frown,0.552946,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1722274897.4335,blink,frown,0.552946,neutral,0.0,,,,,,,,,,,,,,,,,,,,,,,
